,topic,in_dgr,out_dgr,generality
274,Natural_selection,44,16,2.75
275,Royal_Geographical_Society,4,13,0.3076923076923077
276,J._K._Rowling,5,29,0.1724137931034483
277,Black_hole,17,25,0.68
278,Soddo_language,1,4,0.25
279,Boeing_747,19,35,0.5428571428571428
280,Channel_Islands,28,33,0.8484848484848485
281,Ammonia,53,57,0.9298245614035088
282,Astrology,34,47,0.723404255319149
283,Radio_telescope,8,12,0.6666666666666666
284,Eric_Clapton,8,34,0.23529411764705882
285,England_expects_that_every_man_will_do_his_duty,1,15,0.06666666666666667
286,English_monarchs_family_tree,0,3,0.0
287,Alcohol,52,31,1.6774193548387097
288,Jackanory,2,4,0.5
289,Rome,215,71,3.028169014084507
290,Bushbuck,1,8,0.125
291,Drawing,16,15,1.0666666666666667
292,L._S._Lowry,3,8,0.375
293,Manchester_United_F.C.,20,21,0.9523809523809523
294,Negros_Oriental,0,17,0.0
295,Newsround,0,5,0.0
296,Nintendo,26,35,0.7428571428571429
297,Royal_Dutch_Shell,6,25,0.24
298,Functional_programming,6,3,2.0
299,Edmonton,0,20,0.0
300,Jerry_Fodor,5,7,0.7142857142857143
301,Oenothera,1,19,0.05263157894736842
302,Andrew_Dickson_White,2,11,0.18181818181818182
303,First_Macedonian_War,5,6,0.8333333333333334
304,Driving_on_the_left_or_right,0,255,0.0
305,List_of_essential_oils,3,18,0.16666666666666666
306,Sand_shark,0,5,0.0
307,South_Georgia_and_the_South_Sandwich_Islands,12,21,0.5714285714285714
308,Ancient_history,15,109,0.13761467889908258
309,Battle_of_Cannae,3,7,0.42857142857142855
310,Turkish_Republic_of_Northern_Cyprus,22,12,1.8333333333333333
311,Lyndon_B._Johnson,23,27,0.8518518518518519
312,Amtrak,51,47,1.0851063829787233
313,African_Grey_Parrot,1,17,0.058823529411764705
314,Volcanic_pipe,2,10,0.2
315,Financial_statements,0,7,0.0
316,Cornell_University,26,68,0.38235294117647056
317,Cymbopogon,11,12,0.9166666666666666
318,Mammoth,13,29,0.4482758620689655
319,Badminton,17,20,0.85
320,Extraterrestrial_life,16,50,0.32
321,Bob_Marley,6,27,0.2222222222222222
322,Crimean_War,31,25,1.24
323,Mozambique,98,162,0.6049382716049383
324,Assyria,28,16,1.75
325,Sandy_Koufax,1,15,0.06666666666666667
326,Brazil,261,80,3.2625
327,Max_Planck,15,18,0.8333333333333334
328,"Stanley,_Falkland_Islands",3,11,0.2727272727272727
329,Citizen_Kane,7,23,0.30434782608695654
330,"Denver,_Colorado",21,18,1.1666666666666667
331,Chemistry,81,49,1.653061224489796
332,15th_century,100,57,1.7543859649122806
333,Modern_history,2,100,0.02
334,Buckminster_Fuller,3,11,0.2727272727272727
335,Wood_Pigeon,4,12,0.3333333333333333
336,Andrew_Gonzalez,0,8,0.0
337,God,126,36,3.5
338,Bird,237,56,4.232142857142857
339,Kakariki,1,10,0.1
340,Metamorphic_rock,17,13,1.3076923076923077
341,Benin,59,24,2.4583333333333335
342,Black_Sea,76,24,3.1666666666666665
343,Cat_Stevens,1,29,0.034482758620689655
344,American_English,29,30,0.9666666666666667
345,George_Washington,54,21,2.5714285714285716
346,Honey_bee,1,18,0.05555555555555555
347,Marcel_Proust,12,13,0.9230769230769231
348,Archaeoastronomy,3,35,0.08571428571428572
349,Land_(economics),4,3,1.3333333333333333
350,Wallaby,3,12,0.25
351,Einsteinium,9,21,0.42857142857142855
352,Greece,246,114,2.1578947368421053
353,Television,158,21,7.523809523809524
354,Vincent_van_Gogh,18,29,0.6206896551724138
355,Constructivism_(art),9,13,0.6923076923076923
356,Mississippi_River,57,26,2.1923076923076925
357,Eliminative_materialism,1,12,0.08333333333333333
358,Guangzhou,29,38,0.7631578947368421
359,The_Quatermass_Experiment,2,14,0.14285714285714285
360,Fascism,52,43,1.2093023255813953
361,Columba,13,10,1.3
362,Andorra,41,54,0.7592592592592593
363,Pochard,1,19,0.05263157894736842
364,Jórvík,0,13,0.0
365,Automobile,86,31,2.774193548387097
366,Bucharest,18,43,0.4186046511627907
367,Nickel,51,35,1.457142857142857
368,Calcite,16,6,2.6666666666666665
369,London_Zoo,7,12,0.5833333333333334
370,Desert_locust,2,46,0.043478260869565216
371,Edward_II_of_England,13,12,1.0833333333333333
372,Music,99,24,4.125
373,Mirabilis_(plant),0,4,0.0
374,Football_(soccer),220,21,10.476190476190476
375,Falkirk_Wheel,0,7,0.0
376,Mango,19,45,0.4222222222222222
377,"Armand_Jean_du_Plessis,_Cardinal_Richelieu",2,26,0.07692307692307693
378,Old_Nubian_language,2,8,0.25
379,United_States_Constitution,47,25,1.88
380,Milky_Way,36,31,1.1612903225806452
381,Blackcap,1,12,0.08333333333333333
382,J._R._R._Tolkien,15,56,0.26785714285714285
383,Adolf_Hitler,109,78,1.3974358974358974
384,Shark,37,37,1.0
385,Trafalgar_Square,15,37,0.40540540540540543
386,Kashmir_region,30,18,1.6666666666666667
387,Josephus,9,13,0.6923076923076923
388,Mbabane,3,8,0.375
389,Library,33,60,0.55
390,Stephen_Trigg,0,6,0.0
391,Christianity,343,49,7.0
392,Albert_Einstein,89,87,1.0229885057471264
393,Barbara_McClintock,6,12,0.5
394,Cædmon,4,12,0.3333333333333333
395,Philosophy_of_mind,11,34,0.3235294117647059
396,Empiricism,26,17,1.5294117647058822
397,Kipchaks_in_Georgia,0,9,0.0
398,Able_Archer_83,1,14,0.07142857142857142
399,Steve_Davis,0,11,0.0
400,One_Foot_in_the_Grave,0,4,0.0
401,Plutonium,37,41,0.9024390243902439
402,Family,26,11,2.3636363636363638
403,Rosemary,15,11,1.3636363636363635
404,William_McKinley,15,17,0.8823529411764706
405,Lighthouse_of_Alexandria,0,13,0.0
406,Fedora_Core,5,8,0.625
407,Chew_Stoke,3,24,0.125
408,Barcelona,48,54,0.8888888888888888
409,Gossypium,2,11,0.18181818181818182
410,Tim_Henman,4,34,0.11764705882352941
411,Jarvis_Island,4,8,0.5
412,Geology_of_the_Grand_Canyon_area,1,53,0.018867924528301886
413,Pelycosaur,6,11,0.5454545454545454
414,Bonobo,9,15,0.6
415,Jyllands-Posten_Muhammad_cartoons_controversy,2,31,0.06451612903225806
416,A_Tale_of_a_Tub,3,16,0.1875
417,Calculus,27,29,0.9310344827586207
418,Roman_road,11,24,0.4583333333333333
419,Margate,4,12,0.3333333333333333
420,Juvenile_delinquency,3,4,0.75
421,Ostrich,22,45,0.4888888888888889
422,John_Constable,14,6,2.3333333333333335
423,11th_century,57,48,1.1875
424,Louis_Freeh,0,6,0.0
425,Bicycle_Thieves,1,6,0.16666666666666666
426,Stockholm,43,20,2.15
427,Santamaría_(volcano),0,11,0.0
428,The_Old_Man_and_the_Sea,2,16,0.125
429,Poultry,19,13,1.4615384615384615
430,General_Pershing_Zephyr,1,5,0.2
431,Tiger,16,50,0.32
432,"Aymer_de_Valence,_2nd_Earl_of_Pembroke",1,14,0.07142857142857142
433,Animation,24,3,8.0
434,Dante_Alighieri,40,15,2.6666666666666665
435,William_Mahone,2,11,0.18181818181818182
436,Black_Wildebeest,3,12,0.25
438,Work_(thermodynamics),3,6,0.5
439,1755_Lisbon_earthquake,4,23,0.17391304347826086
440,GNU_Linux_naming_controversy,0,8,0.0
441,Mars_Exploration_Rover,7,22,0.3181818181818182
442,Skiing,22,23,0.9565217391304348
443,Meteor_shower,2,3,0.6666666666666666
444,Keira_Knightley,3,8,0.375
445,North_Korea,72,33,2.1818181818181817
446,Educational_psychology,3,15,0.2
447,White-tailed_Eagle,2,20,0.1
448,Europe,933,159,5.867924528301887
449,"Muscat,_Oman",5,29,0.1724137931034483
450,Battle_of_Vaslui,1,9,0.1111111111111111
451,Kangaroo,16,21,0.7619047619047619
452,Magdalena_Abakanowicz,0,21,0.0
453,Lake_Edward,9,7,1.2857142857142858
454,Oasis_(band),11,20,0.55
455,Bongo_(antelope),1,9,0.1111111111111111
456,World_Bank_Group,9,15,0.6
457,Democracy,153,44,3.477272727272727
458,Ammonite,10,25,0.4
459,Oxford,61,37,1.6486486486486487
460,Algoma_Central_Railway,0,6,0.0
461,Armadillo,10,14,0.7142857142857143
462,2003_Atlantic_hurricane_season,8,18,0.4444444444444444
463,Sweden,293,96,3.0520833333333335
464,History_of_Alaska,1,30,0.03333333333333333
465,Moscow,127,62,2.0483870967741935
466,Richard_Feynman,25,33,0.7575757575757576
467,Long_pepper,2,10,0.2
468,Roman_law,9,17,0.5294117647058824
469,Edward_Jenner,5,4,1.25
470,African_Jacana,0,10,0.0
471,Helicobacter_pylori,0,17,0.0
472,Jacob_Riis,0,10,0.0
473,Richard_Nixon,49,55,0.8909090909090909
474,Seychelles,54,30,1.8
475,Roman_Catholic_Church,248,55,4.509090909090909
476,Burundi,55,33,1.6666666666666667
477,Blacktip_reef_shark,3,7,0.42857142857142855
478,Celery,18,25,0.72
479,Mummy,15,48,0.3125
480,Tofu,4,36,0.1111111111111111
481,Ultimatum_game,1,8,0.125
482,Metric_expansion_of_space,7,19,0.3684210526315789
483,Hurricane_Andrew,15,23,0.6521739130434783
484,Swastika,13,108,0.12037037037037036
485,Chicken,31,49,0.6326530612244898
486,Island_Fox,1,14,0.07142857142857142
487,Publishing,24,14,1.7142857142857142
488,Royal_Grammar_School_Worcester,0,16,0.0
489,Côte_d'Ivoire,62,44,1.4090909090909092
490,PSR_B1620-26c,2,10,0.2
491,Moldova,47,37,1.2702702702702702
492,Anton_Alexander_von_Werner,0,4,0.0
493,Esperanto,15,54,0.2777777777777778
494,HD_28185,1,11,0.09090909090909091
495,Monarchies_in_the_European_Union,2,51,0.0392156862745098
496,Scientific_classification,519,25,20.76
497,Gone_with_the_Wind_(film),10,27,0.37037037037037035
498,Woodruff,0,13,0.0
499,Honey,32,37,0.8648648648648649
500,Tripoli,14,31,0.45161290322580644
501,1896_Summer_Olympics,2,27,0.07407407407407407
502,Sucre,3,8,0.375
503,Spinosaurus,5,21,0.23809523809523808
504,Political_philosophy,32,68,0.47058823529411764
505,"Ann_Arbor,_Michigan",5,33,0.15151515151515152
506,People's_Republic_of_China,285,87,3.2758620689655173
507,Rudolf_Vrba,1,27,0.037037037037037035
508,Nitrogen_cycle,6,19,0.3157894736842105
509,Shinto,15,22,0.6818181818181818
510,Hamilton-Burr_duel,0,10,0.0
511,Pac-Man,6,23,0.2608695652173913
512,Bede,27,12,2.25
513,Auckland,26,17,1.5294117647058822
514,Surtsey,2,21,0.09523809523809523
515,New_York_City_Subway_nomenclature,0,5,0.0
516,European_Goldfinch,2,13,0.15384615384615385
517,Stuttering,4,29,0.13793103448275862
518,Great_Yarmouth,11,23,0.4782608695652174
519,Sputnik_program,2,13,0.15384615384615385
520,Supply_and_demand,22,12,1.8333333333333333
521,Ubuntu_(Linux_distribution),2,10,0.2
522,Anglican_Communion,43,30,1.4333333333333333
523,Inductance,10,1,10.0
524,Amber,17,55,0.3090909090909091
525,Endoscopic_foreign_body_retrieval,0,3,0.0
526,Annibale_Bugnini,0,5,0.0
527,List_of_North_American_countries,5,44,0.11363636363636363
528,Biotechnology,27,27,1.0
529,Forest,65,9,7.222222222222222
530,Katana,5,4,1.25
531,Beekeeping,7,16,0.4375
532,Cactus,10,35,0.2857142857142857
533,Palazzo_Pitti,1,17,0.058823529411764705
534,International_English,0,49,0.0
535,Portuguese_language,109,56,1.9464285714285714
536,Joseph_Stalin,53,67,0.7910447761194029
537,Sirius,7,19,0.3684210526315789
538,Tower_of_London,36,45,0.8
539,Mary_Somerville,0,7,0.0
540,The_Fairy-Queen,2,9,0.2222222222222222
541,Eastern_Orthodox_Church,57,34,1.6764705882352942
542,Hernán_Cortés,16,14,1.1428571428571428
543,Globular_cluster,10,14,0.7142857142857143
544,Oceania,61,49,1.2448979591836735
545,Elfin-woods_Warbler,0,23,0.0
546,List_of_U.S._states_by_date_of_statehood,8,10,0.8
547,William_and_Mary,8,4,2.0
548,Antananarivo,2,15,0.13333333333333333
549,Chemical_element,138,34,4.0588235294117645
550,White_cliffs_of_Dover,3,7,0.42857142857142855
551,Vitus_Bering,2,8,0.25
552,King_Arthur,23,27,0.8518518518518519
553,Homestar_Runner,5,12,0.4166666666666667
554,Arsenic,34,44,0.7727272727272727
555,Lake_Mead,8,4,2.0
556,Triggerplant,0,14,0.0
557,Roman_mythology,28,9,3.111111111111111
558,Trade_and_usage_of_saffron,0,47,0.0
559,Temple_of_Artemis,2,10,0.2
560,Belgium,230,61,3.7704918032786887
561,Opus_Dei,3,6,0.5
562,Life,55,15,3.6666666666666665
563,Speech_synthesis,3,12,0.25
564,Melbourne,60,70,0.8571428571428571
565,X_Window_core_protocol,0,2,0.0
566,List_of_areas_in_the_National_Park_System_of_the_United_States,2,21,0.09523809523809523
567,16th_century,125,91,1.3736263736263736
568,History_of_education,0,21,0.0
569,Boy_Scout,1,8,0.125
570,Hypsilophodon,0,17,0.0
571,Gregorian_chant,8,21,0.38095238095238093
572,Charles_Babbage,10,16,0.625
573,Algebra,20,21,0.9523809523809523
574,Extinction,55,39,1.4102564102564104
575,Bluegrass_music,9,9,1.0
576,Martello_tower,0,24,0.0
577,Niger_River,17,20,0.85
578,Black_Seminoles,0,8,0.0
579,Fugu,1,22,0.045454545454545456
580,Banjul,7,9,0.7777777777777778
581,Terrorism,53,29,1.8275862068965518
582,Hawking_radiation,7,11,0.6363636363636364
583,Behavioral_finance,1,5,0.2
584,Nine_Million_Bicycles,0,7,0.0
585,Mesopotamia,94,60,1.5666666666666667
586,Deluge_(mythology),11,30,0.36666666666666664
587,Drought,53,15,3.533333333333333
588,Universe,62,20,3.1
589,Water_purification,10,25,0.4
590,Pre-Raphaelite_Brotherhood,3,7,0.42857142857142855
591,David_Heymann,0,5,0.0
592,Volcano,129,67,1.9253731343283582
593,United_for_Peace_and_Justice,0,14,0.0
594,History_of_Russia,4,73,0.0547945205479452
595,Winfield_Scott_(ship),0,10,0.0
596,Longship,5,12,0.4166666666666667
597,Billie_Holiday,9,8,1.125
598,Yorkshire_Dales,2,7,0.2857142857142857
599,Sydney_Newman,2,15,0.13333333333333333
600,Long-billed_Vulture,0,11,0.0
601,Fossil,125,24,5.208333333333333
602,Ceres_(dwarf_planet),6,32,0.1875
603,Sodium_hydroxide,24,28,0.8571428571428571
604,21st_century,34,155,0.21935483870967742
605,Thomas_Samuel_Kuhn,2,7,0.2857142857142857
606,Ernest_Hemingway,22,42,0.5238095238095238
607,List_of_rivers_by_length,3,156,0.019230769230769232
608,Tonga,31,34,0.9117647058823529
609,Aarhus,2,25,0.08
610,Working_poor,1,3,0.3333333333333333
611,Aphid,9,16,0.5625
612,Goa,19,51,0.37254901960784315
613,Quito,9,27,0.3333333333333333
614,Firearm,14,15,0.9333333333333333
615,Montserrat,25,26,0.9615384615384616
616,Al_Jazeera,7,35,0.2
617,Peter_Paul_Rubens,27,12,2.25
618,Denis_Law,1,9,0.1111111111111111
619,Beer,50,53,0.9433962264150944
620,Snow,59,25,2.36
621,Lipid,17,5,3.4
622,Australian_rules_football,14,25,0.56
623,Macbeth_of_Scotland,8,13,0.6153846153846154
624,Diabetes_mellitus,12,21,0.5714285714285714
625,Henry_Fonda,9,18,0.5
626,Funchal,4,8,0.5
627,Water_Buffalo,7,31,0.22580645161290322
628,Star_Trek,24,16,1.5
629,H.D.,6,29,0.20689655172413793
630,Trans-Siberian_Railway,2,19,0.10526315789473684
631,Argon,45,31,1.4516129032258065
632,Tropical_Storm_Chris_(2006),0,20,0.0
633,Rondane_National_Park,0,21,0.0
634,Pied_Avocet,0,18,0.0
635,Battle_of_the_Bulge,6,38,0.15789473684210525
636,Convention_on_the_Rights_of_the_Child,4,7,0.5714285714285714
637,Africa,477,212,2.25
638,Russian_constitutional_crisis_of_1993,2,10,0.2
639,Cyanocobalamin,5,16,0.3125
640,Antlion,0,6,0.0
641,Alcibiades,7,12,0.5833333333333334
642,Open_source,12,19,0.631578947368421
643,"Augusta,_Lady_Gregory",1,23,0.043478260869565216
