,article,cat0,cat1,cat2
88,Abbas_I_of_Persia,People,Historical_figures,
89,Abbasid,History,Ancient_History_Classical_History_and_Mythology,
90,Abbey,History,British_History,British_History_15001750
91,Abbey,Religion,Religious_movements_traditions_and_organizations,
92,Abbey_Theatre,Language_and_literature,Theatre,
93,Abbot,History,British_History,British_History_15001750
94,Abbot,Religion,Religious_movements_traditions_and_organizations,
95,Abel_Tasman,People,Geographers_and_explorers,
96,Aberdeen,Geography,Geography_of_Great_Britain,
97,Aberration_of_light,Science,Physics,General_Physics
98,Aberystwyth,Geography,Geography_of_Great_Britain,
99,Abhidhamma_Pitaka,Religion,Religious_texts,
100,Abidjan,Geography,African_Geography,
101,Abkhazia,Geography,Geography_of_Asia,Asian_Countries
102,Abkhazia,Countries,,
103,Able_Archer_83,History,Military_History_and_War,
104,Abraham_Goldfaden,People,Writers_and_critics,
105,Abraham_Lincoln,People,USA_Presidents,
106,Absinthe,Everyday_life,Drink,
107,Absolute_zero,Science,Physics,General_Physics
108,Abstract_art,Art,Art,
109,Abu_Dhabi,Countries,,
110,Abu_Dhabi,Geography,Geography_of_the_Middle_East,Middle_Eastern_Countries
111,Abuja,Geography,African_Geography,
112,Acceleration,Science,Physics,General_Physics
113,Accountancy,Business_Studies,Business,
114,Accra,Geography,African_Geography,
115,Acetic_acid,Science,Chemistry,Chemical_compounds
116,Acetone,Science,Chemistry,Chemical_compounds
117,Achilles,History,Ancient_History_Classical_History_and_Mythology,
118,Achilles_tendon,Science,Biology,Health_and_medicine
119,Acid_rain,Citizenship,Environment,
120,Acid_rain,Geography,General_Geography,
121,Acorn_Computers,Business_Studies,Companies,
122,Acorn_Computers,IT,Computing_hardware_and_infrastructure,
123,Actinium,Science,Chemistry,Chemical_elements
124,Action_potential,Science,Biology,General_Biology
125,Actor,Language_and_literature,Theatre,
126,Acts_of_Union_1707,History,British_History,British_History_15001750
127,Actuary,Business_Studies,Economics,
128,Adam_Smith,Business_Studies,Economics,
129,Adam_Smith,People,Historical_figures,
130,Addis_Ababa,Geography,African_Geography,
131,Adelaide,Geography,Geography_of_Oceania_Australasia,
132,Adenosine_triphosphate,Science,Chemistry,Chemical_compounds
133,Adi_Shankara,People,Religious_figures_and_leaders,
134,Adolf_Hitler,People,Political_People,
135,Adriaen_van_der_Donck,People,Historical_figures,
136,Advertising,Business_Studies,Business,
137,Advertising,Everyday_life,Everyday_life,
138,Aesthetics,Science,Biology,Health_and_medicine
139,Afghan_Hound,Science,Biology,Mammals
140,Afghanistan,Geography,Geography_of_Asia,Asian_Countries
141,Afghanistan,Countries,,
142,Africa,Geography,African_Geography,
143,African_American_literature,Language_and_literature,Literature_types,
144,African_Black_Oystercatcher,Science,Biology,Birds
145,African_Brush-tailed_Porcupine,Science,Biology,Mammals
146,African_Buffalo,Science,Biology,Mammals
147,African_Darter,Science,Biology,Birds
148,African_Great_Lakes,Geography,African_Geography,
149,African_Grey_Hornbill,Science,Biology,Birds
150,African_Grey_Parrot,Science,Biology,Birds
151,African_Jacana,Science,Biology,Birds
152,African_Penguin,Science,Biology,Birds
153,African_Union,Citizenship,Politics_and_government,
154,African_Wild_Dog,Science,Biology,Mammals
155,African_clawed_frog,Science,Biology,Insects_Reptiles_and_Fish
156,African_dwarf_frog,Science,Biology,Insects_Reptiles_and_Fish
157,African_slave_trade,History,General_history,
158,Afrikaans,Language_and_literature,Languages,
159,Agamemnon,People,Historical_figures,
160,Age_of_Enlightenment,Religion,Philosophy,
161,Aggregator,IT,Websites_and_the_Internet,
162,Agnosticism,Religion,Philosophy,
163,Agriculture,Everyday_life,Food_and_agriculture,
164,Airbus,Design_and_Technology,Air_and_Sea_transport,
165,Airbus_A380,Design_and_Technology,Air_and_Sea_transport,
166,Aircraft,Design_and_Technology,Air_and_Sea_transport,
167,Aircraft_carrier,Design_and_Technology,Air_and_Sea_transport,
168,Airship,Design_and_Technology,Air_and_Sea_transport,
169,Ajax_(programming),IT,Computer_Programming,
170,Akbar,People,Historical_figures,
171,Akhenaten,History,Ancient_History_Classical_History_and_Mythology,
172,Akhenaten,People,Historical_figures,
173,Akira_Kurosawa,People,Producers_directors_and_media_figures,
174,Akkadian_Empire,History,Ancient_History_Classical_History_and_Mythology,
175,Akrotiri_and_Dhekelia,Geography,European_Geography,
176,Aksumite_currency,History,Ancient_History_Classical_History_and_Mythology,
177,Al_Jazeera,Citizenship,Media,
178,Al_Jazeera,Citizenship,Politics_and_government,
179,Alamosaurus,Science,Biology,Dinosaurs
180,Alan_Turing,People,Mathematicians,
181,Albania,Countries,,
182,Albania,Geography,European_Geography,European_Countries
183,Albatross,Science,Biology,Birds
184,Albert_Einstein,People,Astronomers_and_physicists,
185,Alberto_Santos-Dumont,People,Engineers_and_inventors,
186,Albertosaurus,Science,Biology,Dinosaurs
187,Albigensian_Crusade,History,Pre_1900_Military,
188,Albigensian_Crusade,Religion,Religious_disputes,
189,Albinism,Science,Biology,Health_and_medicine
190,Albrecht_Dürer,People,Mathematicians,
191,Albrecht_Rodenbach,People,Writers_and_critics,
192,Alchemy,Science,Chemistry,General_Chemistry
193,Alcibiades,History,Ancient_History_Classical_History_and_Mythology,
194,Alcibiades,People,Historical_figures,
195,Alcohol,Science,Chemistry,General_Chemistry
196,Aleksandr_Pushkin,People,Writers_and_critics,
197,Aleksandr_Vasilevsky,People,Military_People,
198,Aleksey_Arakcheyev,People,Historical_figures,
199,Alexander_Graham_Bell,People,Engineers_and_inventors,
200,Alexander_Hamilton,People,Historical_figures,
201,Alexander_the_Great,People,Military_People,
202,Alfred_Hitchcock,People,Producers_directors_and_media_figures,
203,Alfred_Nobel,People,Chemists,
204,Alfred_the_Great,History,British_History,British_History_1500_and_before_including_Roman_Britain
205,Alfred_the_Great,People,Military_People,
206,Alfred_the_Great,People,Monarchs_of_Great_Britain,
207,Algebra,Mathematics,,
208,Algeria,Geography,African_Geography,African_Countries
209,Algeria,Countries,,
210,Algerian_Civil_War,History,Military_History_and_War,
211,Algiers,Geography,African_Geography,
212,Algol,Science,Physics,Space_Astronomy
213,Algoma_Central_Railway,Design_and_Technology,Railway_transport,
214,Algorithm,Mathematics,,
215,Alice's_Adventures_in_Wonderland,Language_and_literature,Novels,
216,All_Blacks,Everyday_life,Sports_teams,
217,All_You_Need_Is_Love_(The_JAMs_song),Music,Musical_Recordings_and_compositions,
218,All_your_base_are_belong_to_us,IT,Websites_and_the_Internet,
219,Allah,Religion,Divinities,
220,Allegory_in_the_Middle_Ages,Religion,Religious_texts,
221,Alligator,Science,Biology,Insects_Reptiles_and_Fish
222,Alliterative_verse,Language_and_literature,Poetry_and_Opera,
223,Allosaurus,Science,Biology,Dinosaurs
224,Almaty,Geography,Geography_of_Asia,
225,Almond,Everyday_life,Food_and_agriculture,
226,Almond,Science,Biology,Plants
227,Alpaca,Science,Biology,Mammals
228,Alphabet,Language_and_literature,Linguistics,
229,Alternating_current,Design_and_Technology,Engineering,
230,Alternation_of_generations,Science,Biology,General_Biology
231,Alternative_rock,Music,Musical_genres_styles_eras_and_events,
232,Aluminium,Science,Chemistry,Chemical_elements
233,Aluminium_chloride,Science,Chemistry,Chemical_compounds
234,Alzheimer's_disease,Science,Biology,Health_and_medicine
235,Amaranth_oil,Science,Biology,Plants
236,"Amarillo,_Texas",Geography,North_American_Geography,
237,Amazon_Basin,Geography,Central_and_South_American_Geography,
238,Amazon_Rainforest,Geography,Central_and_South_American_Geography,
239,Amazon_River,Geography,Central_and_South_American_Geography,
240,Amazon_parrot,Science,Biology,Birds
241,Amber,Geography,Mineralogy,
242,Amda_Seyon_I,People,Historical_figures,
243,American_Civil_War,History,Pre_1900_Military,
244,American_English,Language_and_literature,Languages,
245,American_Revolutionary_War,History,Pre_1900_Military,
246,American_Samoa,Geography,Geography_of_Oceania_Australasia,
247,American_football,Everyday_life,Sports,
248,American_popular_music,Music,Musical_genres_styles_eras_and_events,
249,Americium,Science,Chemistry,Chemical_elements
250,Amish,Geography,Peoples,
251,Ammolite,Geography,Mineralogy,
252,Ammonia,Science,Chemistry,Chemical_compounds
253,Ammonite,Geography,Mineralogy,
254,Ammosaurus,Science,Biology,Dinosaurs
255,Amsterdam,Geography,European_Geography,
256,Amtrak,Design_and_Technology,Railway_transport,
257,Amur,Geography,Geography_of_Asia,
258,Anaconda,Science,Biology,Insects_Reptiles_and_Fish
259,Analytical_Marxism,Religion,Philosophy,
260,Anarchism,Religion,Philosophy,
261,Anarcho-capitalism,Citizenship,Politics_and_government,
262,Anatomy,Science,Biology,General_Biology
263,Ancient_Egypt,History,Ancient_History_Classical_History_and_Mythology,
264,Ancient_Greece,History,Ancient_History_Classical_History_and_Mythology,
265,Ancient_Rome,History,Ancient_History_Classical_History_and_Mythology,
266,Ancient_history,History,General_history,
267,Andes,Geography,Central_and_South_American_Geography,
268,Andorra,Countries,,
269,Andorra,Geography,European_Geography,European_Countries
270,Andrés_Nocioni,People,Sports_and_games_people,
271,Andrew_Carnegie,People,Engineers_and_inventors,
272,Andrew_Dickson_White,People,Political_People,
273,Andrew_Gonzalez,People,Writers_and_critics,
274,Andrew_Jackson,People,USA_Presidents,
275,Andrew_Johnson,People,USA_Presidents,
276,Andrew_Robinson,People,Actors_models_and_celebrities,
277,Andriyivskyy_Descent,Geography,Geography_of_Asia,
278,Andromeda_Galaxy,Science,Physics,Space_Astronomy
279,Andy_Warhol,People,Artists,
280,Anemia,Science,Biology,Health_and_medicine
281,Angel_shark,Science,Biology,Insects_Reptiles_and_Fish
282,Angelica,Science,Biology,Plants
283,Angkor,Geography,African_Geography,
284,Angkor_Wat,Design_and_Technology,Architecture,
285,Anglican_Church_of_Australia,Religion,Religious_movements_traditions_and_organizations,
286,Anglican_Communion,Religion,Religious_movements_traditions_and_organizations,
287,Anglicanism,Religion,Religious_movements_traditions_and_organizations,
288,Anglo-Saxon_literature,History,British_History,British_History_1500_and_before_including_Roman_Britain
289,Anglo-Saxon_literature,Language_and_literature,Literature_types,
290,Angola,Geography,African_Geography,African_Countries
291,Angola,Countries,,
292,Anguilla,Geography,Central_and_South_American_Geography,Central_and_South_American_Countries
293,Anguilla,Countries,,
294,Animal,Science,Biology,General_Biology
295,Animal_law,Citizenship,Animal_and_Human_Rights,
296,Animal_rights,Citizenship,Animal_and_Human_Rights,
297,Animation,Everyday_life,Computer_and_Video_games,
298,Animation,Everyday_life,Films,
299,Ankylosaurus,Science,Biology,Dinosaurs
300,"Ann_Arbor,_Michigan",Geography,North_American_Geography,
301,Anna_Karenina,Language_and_literature,Novels,
302,Anne_Frank,People,Writers_and_critics,
303,Anne_of_Great_Britain,History,British_History,British_History_15001750
304,Anne_of_Great_Britain,People,Monarchs_of_Great_Britain,
305,Annibale_Bugnini,People,Religious_figures_and_leaders,
306,Anno_Domini,History,General_history,
307,Anschluss,History,Recent_History,
308,Anschluss,History,World_War_II,
309,Ant,Science,Biology,Insects_Reptiles_and_Fish
310,Antananarivo,Geography,African_Geography,
311,Antarctic_Treaty_System,Geography,Antarctica,
312,Antarctic_krill,Science,Biology,Insects_Reptiles_and_Fish
313,Antarctica,Geography,Antarctica,
314,Antarctosaurus,Science,Biology,Dinosaurs
315,Anteater,Science,Biology,Mammals
316,Antelope,Science,Biology,Mammals
317,Anthony_van_Dyck,People,Artists,
318,Anthropology,Geography,Peoples,
319,Antigua_and_Barbuda,Geography,Central_and_South_American_Geography,Central_and_South_American_Countries
320,Antigua_and_Barbuda,Countries,,
321,Antimony,Science,Chemistry,Chemical_elements
322,Antlion,Science,Biology,Insects_Reptiles_and_Fish
323,Antoine_Lavoisier,People,Chemists,
324,Antonín_Dvořák,People,Performers_and_composers,
325,Anton_Alexander_von_Werner,People,Artists,
326,Antonio_Vivaldi,People,Performers_and_composers,
327,Antwerp,Geography,European_Geography,
328,Apaochi,History,Ancient_History_Classical_History_and_Mythology,
329,Apatosaurus,Science,Biology,Dinosaurs
330,Ape,Science,Biology,Mammals
331,Aphid,Science,Biology,Insects_Reptiles_and_Fish
332,Apollo,Religion,Divinities,
333,Apollo_11,Science,Physics,Space_transport
334,Apollo_8,Science,Physics,Space_transport
335,Apostolic_Succession,Religion,Religious_disputes,
336,Apple,Everyday_life,Food_and_agriculture,
337,Applied_mathematics,Mathematics,,
338,Apricot,Everyday_life,Food_and_agriculture,
339,Aquarium,Everyday_life,Everyday_life,
340,Aquarium,Science,Biology,General_Biology
341,Arab-Israeli_conflict,Citizenship,Conflict_and_Peace,
342,Arab_League,Citizenship,Politics_and_government,
343,Arabic_language,Language_and_literature,Languages,
344,Arable_land,Everyday_life,Food_and_agriculture,
345,"Aradia,_or_the_Gospel_of_the_Witches",Language_and_literature,General_Literature,
346,Aral_Sea,Geography,General_Geography,
347,Arcadia_(play),Language_and_literature,Theatre,
348,Archaeoastronomy,Science,Physics,Space_Astronomy
349,Archaeology,History,Archaeology,
350,Archaeopteryx,Science,Biology,Birds
351,Archbishop_of_Canterbury,People,Religious_figures_and_leaders,
352,Archimedes,People,Mathematicians,
353,Architecture,Design_and_Technology,Architecture,
354,Architecture_of_Windows_NT,IT,Software,
355,Architecture_of_the_California_missions,Design_and_Technology,Architecture,
356,Arctic,Geography,General_Geography,
357,Arctic_Circle,Geography,General_Geography,
358,Arctic_Monkeys,Music,Performers_and_composers,
359,Arctic_Ocean,Geography,General_Geography,
360,Arctic_Tern,Science,Biology,Birds
361,Arecaceae,Science,Biology,Plants
362,Argan,Science,Biology,Plants
363,Argentina,Geography,Central_and_South_American_Geography,Central_and_South_American_Countries
364,Argentina,Countries,,
365,Argon,Science,Chemistry,Chemical_elements
366,Argyle_diamond_mine,Geography,Geography_of_Oceania_Australasia,
367,Ariel_Sharon,People,Political_People,
368,Aristarchus_(crater),Science,Physics,Space_Astronomy
369,Aristotle,People,Philosophers,
370,Arithmetic,Mathematics,,
371,Armadillo,Science,Biology,Mammals
372,"Armand_Jean_du_Plessis,_Cardinal_Richelieu",People,Historical_figures,
373,Armenia,Countries,,
374,Armenia,Geography,European_Geography,European_Countries
375,Armia_Krajowa,People,Political_People,
376,Arnold_Schwarzenegger,People,Producers_directors_and_media_figures,
377,Arp2_3_complex,Science,Biology,General_Biology
378,Ars_moriendi,History,General_history,
379,Arsenal_F.C.,Everyday_life,Sports_teams,
380,Arsenic,Science,Chemistry,Chemical_elements
381,Art,Art,Art,
382,Arthropod,Science,Biology,General_Biology
383,Arthur_Ernest_Percival,People,Military_People,
384,Arthur_Sullivan,History,British_History,British_History_17501900
385,Arthur_Sullivan,People,Writers_and_critics,
386,Arthur_Upfield,People,Writers_and_critics,
387,"Arthur_Wellesley,_1st_Duke_of_Wellington",History,British_History,British_History_17501900
388,"Arthur_Wellesley,_1st_Duke_of_Wellington",People,Military_People,
389,Arts_and_crafts,Art,Art,
390,Aruba,Geography,Central_and_South_American_Geography,Central_and_South_American_Countries
391,Aruba,Countries,,
392,Arugula,Everyday_life,Food_and_agriculture,
393,Ascariasis,Science,Biology,Health_and_medicine
394,Asia,Geography,Geography_of_Asia,
395,Asp_(reptile),Science,Biology,Insects_Reptiles_and_Fish
396,Asparagus,Everyday_life,Food_and_agriculture,
397,Asperger_syndrome,Science,Biology,Health_and_medicine
398,Assyria,History,Ancient_History_Classical_History_and_Mythology,
399,Astatine,Science,Chemistry,Chemical_elements
400,Asteroid,Science,Physics,Space_Astronomy
401,Asthma,Science,Biology,Health_and_medicine
402,Astrology,Everyday_life,Recreation,
403,Astronomy,Science,Physics,Space_Astronomy
404,Astrophysics_Data_System,Science,Physics,Space_Astronomy
405,Asunción,Geography,Central_and_South_American_Geography,
406,Ateneo_de_Manila_University,Geography,Central_and_South_American_Geography,
407,Athanasius_Kircher,History,Historians_chroniclers_and_history_books,
408,Athanasius_Kircher,People,Human_Scientists,
409,Atheism,Religion,Philosophy,
410,Athena,Religion,Divinities,
411,Athens,Geography,European_Geography,
412,Athletics_(track_and_field),Everyday_life,Sports,
413,"Atlanta,_Georgia",Geography,North_American_Geography,
414,Atlantic_Coast_Line_Railroad,Design_and_Technology,Railway_transport,
415,Atlantic_Ocean,Geography,General_Geography,
416,Atlantic_herring,Science,Biology,Insects_Reptiles_and_Fish
417,Atlantic_slave_trade,History,British_History,British_History_17501900
418,Atlantis,Religion,Myths,
419,Atom,Science,Chemistry,General_Chemistry
420,Atonality,Music,Musical_genres_styles_eras_and_events,
421,Attack_on_Pearl_Harbor,History,World_War_II,
422,Attalus_I,People,Historical_figures,
423,Attention-deficit_hyperactivity_disorder,Science,Biology,Health_and_medicine
424,Attila_the_Hun,People,Historical_figures,
425,Attila_the_Hun,People,Military_People,
426,Auckland,Geography,Geography_of_Oceania_Australasia,
427,"Augusta,_Lady_Gregory",Language_and_literature,Theatre,
428,"Augusta,_Lady_Gregory",People,Writers_and_critics,
429,Augustan_literature,Language_and_literature,Literature_types,
430,Auguste_Rodin,People,Artists,
431,Augustine_of_Hippo,People,Religious_figures_and_leaders,
432,Augustus,People,Historical_figures,
433,Australia,Countries,,
434,Australia,Geography,Geography_of_Oceania_Australasia,
435,Australian_English,Language_and_literature,Languages,
436,Australian_Green_Tree_Frog,Science,Biology,Insects_Reptiles_and_Fish
437,Australian_Open,Everyday_life,Sports_events,
438,Australian_Ringneck,Science,Biology,Birds
439,Australian_constitutional_law,Geography,Geography_of_Oceania_Australasia,
440,Australian_rules_football,Everyday_life,Sports,
441,Austria,Countries,,
442,Austria,Geography,European_Geography,European_Countries
443,Autism,Science,Biology,Health_and_medicine
444,Auto_racing,Everyday_life,Sports,
445,Autobianchi_Primula,Science,Biology,Plants
446,Autocracy,Citizenship,Politics_and_government,
447,Automated_teller_machine,Design_and_Technology,Engineering,
448,Automatic_number_plate_recognition,Design_and_Technology,Road_transport,
449,Automobile,Design_and_Technology,Road_transport,
450,Autorack,Design_and_Technology,Railway_transport,
451,Autostereogram,Science,Biology,Health_and_medicine
452,Autumn,Geography,Climate_and_the_Weather,
453,Avacha_Volcano,Geography,Geography_of_Asia,
454,Avalanche,Geography,Natural_Disasters,
455,Avatar__The_Last_Airbender,Everyday_life,Television,
456,Avocado,Everyday_life,Food_and_agriculture,
457,Avocado,Science,Biology,Plants
458,Avon_Gorge,Geography,Geography_of_Great_Britain,
459,Avro_Lancaster,Design_and_Technology,Air_and_Sea_transport,
460,Avro_Lancaster,History,World_War_II,
461,Axe,Design_and_Technology,Engineering,
462,Ayaan_Hirsi_Ali,People,Political_People,
463,Aye-aye,Science,Biology,Mammals
464,"Aymer_de_Valence,_2nd_Earl_of_Pembroke",People,Historical_figures,
465,Azerbaijan,Countries,,
466,Azerbaijan,Geography,European_Geography,European_Countries
467,Azerbaijani_people,Geography,Peoples,
468,Aztec,History,Ancient_History_Classical_History_and_Mythology,
469,BAE_Systems,Business_Studies,Companies,
470,BASIC,IT,Computer_Programming,
471,BBC,Citizenship,Media,
472,BBC,Everyday_life,Television,
473,BBC_television_drama,Everyday_life,Television,
474,BP,Business_Studies,Companies,
475,BT_Tower,Design_and_Technology,Architecture,
476,B_vitamins,Science,Biology,Health_and_medicine
477,Babe_Ruth,People,Sports_and_games_people,
478,Baboon,Science,Biology,Mammals
479,Babur,History,Ancient_History_Classical_History_and_Mythology,
480,Babur,People,Historical_figures,
481,Baby_Gender_Mentor,Science,Biology,Health_and_medicine
482,Babylonia,History,Ancient_History_Classical_History_and_Mythology,
483,Backgammon,Everyday_life,Games,
484,Bacteria,Science,Biology,Organisms
485,Baden-Powell_House,Citizenship,Community_organisations,
486,Badger,Science,Biology,Mammals
487,Badminton,Everyday_life,Sports,
488,Badugi,Everyday_life,Games,
489,Baghdad,Geography,Geography_of_the_Middle_East,
490,Bahá'í_Faith,Religion,Religious_movements_traditions_and_organizations,
491,Bahamas,Geography,Central_and_South_American_Geography,Central_and_South_American_Countries
492,Bahamas,Countries,,
493,Bahrain,Countries,,
494,Bahrain,Geography,Geography_of_the_Middle_East,Middle_Eastern_Countries
495,Baker_Island,Geography,Geography_of_Oceania_Australasia,
496,Bald_Eagle,Science,Biology,Birds
497,Baltic_Sea,Geography,General_Geography,
498,"Baltimore,_Maryland",Geography,North_American_Geography,
499,Bamako,Geography,African_Geography,
500,Banana,Everyday_life,Food_and_agriculture,
501,Bandicoot,Science,Biology,Mammals
502,Bangalore,Geography,Geography_of_Asia,
503,Bangkok,Geography,Geography_of_Asia,
504,Bangladesh,Geography,Geography_of_Asia,Asian_Countries
505,Bangladesh,Countries,,
506,Banjul,Geography,African_Geography,
507,Bank_of_China_(Hong_Kong),Business_Studies,Companies,
508,Banknote,Business_Studies,Currency,
509,Banksy,People,Artists,
510,Bantu,Geography,African_Geography,
511,Barack_Obama,People,Political_People,
512,Barbados,Geography,Central_and_South_American_Geography,Central_and_South_American_Countries
513,Barbados,Countries,,
514,Barbara_McClintock,People,Human_Scientists,
515,Barbary_Lion,Science,Biology,Mammals
516,Barbary_Macaque,Science,Biology,Mammals
517,Barcelona,Geography,European_Geography,
518,Barium,Science,Chemistry,Chemical_elements
519,Barley,Everyday_life,Food_and_agriculture,
520,Barley,Science,Biology,Plants
521,Barn_Owl,Science,Biology,Birds
522,Barnacle,Science,Biology,Organisms
523,Baroque,Art,Art,
524,Barracuda,Science,Biology,Insects_Reptiles_and_Fish
525,Baruch_Spinoza,People,Philosophers,
526,Baseball,Everyday_life,Sports,
527,Basel,Geography,European_Geography,
528,Basil,Everyday_life,Food_and_agriculture,
529,Basil,Science,Biology,Plants
530,Basil_Brush,Everyday_life,Television,
531,Basilica_of_San_Francesco_d'Assisi,Design_and_Technology,Architecture,
532,Basilica_of_Santa_Maria_degli_Angeli,Design_and_Technology,Architecture,
533,Basketball,Everyday_life,Sports,
534,Basking_shark,Science,Biology,Insects_Reptiles_and_Fish
535,Bass_(fish),Science,Biology,Insects_Reptiles_and_Fish
536,Basset_Hound,Science,Biology,Mammals
537,Bassoon,Music,Musical_Instruments,
538,Bat,Science,Biology,Mammals
539,Bat-eared_Fox,Science,Biology,Mammals
540,"Bath,_Somerset",Geography,Geography_of_Great_Britain,
541,Bath_School_disaster,History,Recent_History,
542,Batholith,Geography,Geology_and_geophysics,
543,Batman,Everyday_life,Cartoons,
544,Battle_of_Alesia,History,Pre_1900_Military,
545,Battle_of_Amiens,History,Military_History_and_War,
546,Battle_of_Austerlitz,History,Pre_1900_Military,
547,Battle_of_Badr,History,Pre_1900_Military,
548,Battle_of_Bicocca,History,Pre_1900_Military,
549,Battle_of_Britain,History,British_History,British_History_Post_1900
550,Battle_of_Cannae,History,Pre_1900_Military,
551,Battle_of_France,History,World_War_II,
552,Battle_of_Gettysburg,History,Pre_1900_Military,
553,Battle_of_Grunwald,History,Pre_1900_Military,
554,Battle_of_Hastings,History,British_History,British_History_1500_and_before_including_Roman_Britain
555,Battle_of_Jutland,History,Military_History_and_War,
556,Battle_of_Lechaeum,History,Ancient_History_Classical_History_and_Mythology,
557,Battle_of_Leyte_Gulf,History,World_War_II,
558,Battle_of_Marathon,History,Ancient_History_Classical_History_and_Mythology,
559,Battle_of_Midway,History,World_War_II,
560,Battle_of_Moscow,History,World_War_II,
561,Battle_of_Normandy,History,World_War_II,
562,Battle_of_Rennell_Island,History,World_War_II,
563,Battle_of_Sitka,History,Pre_1900_Military,
564,Battle_of_Smolensk_(1943),History,World_War_II,
565,Battle_of_Stalingrad,History,World_War_II,
566,Battle_of_Tours,History,Ancient_History_Classical_History_and_Mythology,
567,Battle_of_Vaslui,History,Pre_1900_Military,
568,Battle_of_Warsaw_(1920),History,Military_History_and_War,
569,Battle_of_the_Bulge,History,World_War_II,
570,Battle_of_the_Eastern_Solomons,History,World_War_II,
571,Battle_of_the_Little_Bighorn,History,Pre_1900_Military,
